BIC,Container Size,In/Out Gate,Full / Empty,Container Status,Destination,Trucker ID,Pick-up Time
-1360798150,40,GateOut,Full,IMPORT,92821,,
1628566898,40,GateOut,Full,IMPORT,91789,,
-1078118543,40,GateOut,Full,IMPORT,91399,,
1104296313,40,GateOut,Full,IMPORT,91110,,
1971141060,40,GateOut,Full,IMPORT,92368,,
351551194,45,GateOut,Full,IMPORT,90410,,
-1855170470,40,GateOut,Full,IMPORT,91103,,
-1791296517,40,GateOut,Full,IMPORT,90805,,
-1462067401,40,GateOut,Full,IMPORT,92234,,
-1017462916,40,GateOut,Full,IMPORT,92517,,
-1298626593,40,GateOut,Full,IMPORT,92247,,
40498613,40,GateOut,Full,IMPORT,92886,,
762285404,20,GateOut,Full,IMPORT,93060,,
625290853,40,GateOut,Full,IMPORT,90291,,
-569093070,20,GateOut,Full,IMPORT,91331,,
2060991442,45,GateOut,Full,IMPORT,90014,,
-1108489771,40,GateOut,Full,IMPORT,90623,,
734228387,40,GateOut,Full,IMPORT,90621,,
297708490,20,GateOut,Full,IMPORT,92242,,
-1488684747,40,GateOut,Full,IMPORT,91411,,
1601050399,20,GateOut,Full,IMPORT,90058,,
-457341062,40,GateOut,Full,IMPORT,91006,,
225548775,40,GateOut,Full,IMPORT,90710,,
793071439,20,GateOut,Full,IMPORT,92868,,
1954626815,40,GateOut,Full,IMPORT,92378,,
-814656977,40,GateOut,Full,IMPORT,93002,,
580267115,40,GateOut,Full,IMPORT,92630,,
-1814028854,40,GateOut,Full,IMPORT,91702,,
1578351784,40,GateOut,Full,IMPORT,91390,,
1928226490,40,GateOut,Full,IMPORT,92239,,
1622989092,40,GateOut,Full,IMPORT,90652,,
2097484890,40,GateOut,Full,IMPORT,90024,,
1735487976,20,GateOut,Full,IMPORT,91730,,
-315747696,40,GateOut,Full,IMPORT,92842,,
-1692076852,40,GateOut,Full,IMPORT,90831,,
-1366428488,40,GateOut,Full,IMPORT,90706,,
44740311,40,GateOut,Full,IMPORT,91116,,
-241674763,40,GateOut,Full,IMPORT,92424,,
746556624,20,GateOut,Full,IMPORT,93007,,
1695157137,40,GateOut,Full,IMPORT,90071,,
1164970212,40,GateOut,Full,IMPORT,91748,,
417472445,40,GateOut,Full,IMPORT,92372,,
-1643235184,40,GateOut,Full,IMPORT,92392,,
481583912,40,GateOut,Full,IMPORT,91841,,
-1484910360,20,GateOut,Full,IMPORT,90623,,
-937124943,40,GateOut,Full,IMPORT,90503,,
-2143822833,40,GateOut,Full,IMPORT,90088,,
1871666083,40,GateOut,Full,IMPORT,91765,,
2007374783,40,GateOut,Full,IMPORT,91804,,
-1981192014,40,GateOut,Full,IMPORT,92590,,
1330760581,45,GateOut,Full,IMPORT,90091,,
614907531,40,GateOut,Full,IMPORT,90293,,
1935563660,20,GateOut,Full,IMPORT,92677,,
-1735025949,45,GateOut,Full,IMPORT,91310,,
1024145714,40,GateOut,Full,IMPORT,90046,,
471663267,40,GateOut,Full,IMPORT,90707,,
-1843893652,40,GateOut,Full,IMPORT,92887,,
-1191349195,40,GateOut,Full,IMPORT,90701,,
-1402095086,40,GateOut,Full,IMPORT,92285,,
-336791744,20,GateOut,Full,IMPORT,90804,,
-1888765109,40,GateOut,Full,IMPORT,93031,,
-644444349,40,GateOut,Full,IMPORT,91722,,
1528101139,20,GateOut,Full,IMPORT,91733,,
-1108053465,40,GateOut,Full,IMPORT,90089,,
-787830986,40,GateOut,Full,IMPORT,90048,,
781086132,40,GateOut,Full,IMPORT,92781,,
1368023620,40,GateOut,Full,IMPORT,92211,,
44678918,20,GateOut,Full,IMPORT,91737,,
22380474,40,GateOut,Full,IMPORT,91790,,
1952692964,20,GateOut,Full,IMPORT,92311,,
512494505,40,GateOut,Full,IMPORT,90051,,
2054518842,40,GateOut,Full,IMPORT,90610,,
-1885555528,40,GateOut,Full,IMPORT,92834,,
548740630,40,GateOut,Full,IMPORT,91788,,
232466569,40,GateOut,Full,IMPORT,92305,,
-1263876452,40,GateOut,Full,IMPORT,90005,,
-1818134655,40,GateOut,Full,IMPORT,90405,,
-1065669165,40,GateOut,Full,IMPORT,90087,,
1160130007,20,GateOut,Full,IMPORT,92398,,
-1795053566,40,GateOut,Full,IMPORT,91308,,
-885300140,40,GateOut,Full,IMPORT,91618,,
-182604608,40,GateOut,Full,IMPORT,92418,,
278935632,40,GateOut,Full,IMPORT,92564,,
-594031957,20,GateOut,Full,IMPORT,91606,,
282556961,40,GateOut,Full,IMPORT,90403,,
178439495,40,GateOut,Full,IMPORT,91735,,
-432050749,40,GateOut,Full,IMPORT,90505,,
-648136597,40,GateOut,Full,IMPORT,92532,,
1435536439,40,GateOut,Full,IMPORT,92868,,
1726840004,20,GateOut,Full,IMPORT,90621,,
904759925,40,GateOut,Full,IMPORT,91789,,
1095844748,40,GateOut,Full,IMPORT,92403,,
-497724862,40,GateOut,Full,IMPORT,92408,,
1460623273,40,GateOut,Full,IMPORT,92506,,
1774127074,20,GateOut,Full,IMPORT,93552,,
1925302930,40,GateOut,Full,IMPORT,92637,,
-228227499,40,GateOut,Full,IMPORT,91729,,
1710625308,40,GateOut,Full,IMPORT,91767,,
495683037,40,GateOut,Full,IMPORT,91313,,
879454248,20,GateOut,Full,IMPORT,91795,,
-167117928,40,GateOut,Full,IMPORT,90840,,
-387299019,40,GateOut,Full,IMPORT,92859,,
-267714923,40,GateOut,Full,IMPORT,90058,,
-915994345,40,GateOut,Full,IMPORT,90408,,
1155656714,40,GateOut,Full,IMPORT,90010,,
421440587,40,GateOut,Full,IMPORT,91343,,
1661073183,40,GateOut,Full,IMPORT,91356,,
1624414527,40,GateOut,Full,IMPORT,90651,,
-1007091515,20,GateOut,Full,IMPORT,91340,,
-1954601586,40,GateOut,Full,IMPORT,91340,,
-157214286,40,GateOut,Full,IMPORT,91225,,
1055714475,40,GateOut,Full,IMPORT,92363,,
1400727630,20,GateOut,Full,IMPORT,92882,,
1777318560,40,GateOut,Full,IMPORT,92502,,
-1859608883,40,GateOut,Full,IMPORT,91344,,
1815136985,40,GateOut,Full,IMPORT,90232,,
167196006,40,GateOut,Full,IMPORT,91319,,
1692960186,40,GateOut,Full,IMPORT,92663,,
1898958319,40,GateOut,Full,IMPORT,90508,,
1992500103,40,GateOut,Full,IMPORT,90266,,
-1450066484,20,GateOut,Full,IMPORT,90721,,
-811854773,40,GateOut,Full,IMPORT,92211,,
129730061,40,GateOut,Full,IMPORT,91754,,
1653865194,40,GateOut,Full,IMPORT,93011,,
-739504017,40,GateOut,Full,IMPORT,91123,,
1318866887,40,GateOut,Full,IMPORT,91772,,
-1028056608,20,GateOut,Full,IMPORT,92369,,
-1032597877,40,GateOut,Full,IMPORT,90609,,
364381065,40,GateOut,Full,IMPORT,91396,,
-555959152,45,GateOut,Full,IMPORT,92346,,
-1201309819,40,GateOut,Full,IMPORT,92503,,
36108322,40,GateOut,Full,IMPORT,91797,,
1387891624,45,GateOut,Full,IMPORT,92878,,
-2142739478,40,GateOut,Full,IMPORT,91313,,
538001178,40,GateOut,Full,IMPORT,92338,,
-1644927341,20,GateOut,Full,IMPORT,92264,,
1956874350,40,GateOut,Full,IMPORT,90249,,
-1398906768,40,GateOut,Full,IMPORT,92647,,
1930632981,40,GateOut,Full,IMPORT,92255,,
-1370331490,40,GateOut,Full,IMPORT,91604,,
-1098512776,40,GateOut,Full,IMPORT,90291,,
1902990883,45,GateOut,Full,IMPORT,92615,,
2082717132,40,GateOut,Full,IMPORT,91748,,
-1666398561,40,GateOut,Full,IMPORT,91768,,
1570283837,20,GateOut,Full,IMPORT,90231,,
-225182837,20,GateOut,Full,IMPORT,91327,,
1705793315,40,GateOut,Full,IMPORT,92625,,
1601003301,40,GateOut,Full,IMPORT,91021,,
290853125,40,GateOut,Full,IMPORT,90027,,
1994814309,40,GateOut,Full,IMPORT,90264,,
2085027653,40,GateOut,Full,IMPORT,92885,,
-1411932318,40,GateOut,Full,IMPORT,91802,,
1671302099,40,GateOut,Full,IMPORT,90706,,
-1987662278,40,GateOut,Full,IMPORT,92519,,
159215502,40,GateOut,Full,IMPORT,91107,,
-691307603,20,GateOut,Full,IMPORT,90844,,
-731057597,40,GateOut,Full,IMPORT,90277,,
1476472660,40,GateOut,Full,IMPORT,92342,,
1813922751,40,GateOut,Full,IMPORT,90063,,
-437697806,40,GateOut,Full,IMPORT,91302,,
-550978440,40,GateOut,Full,IMPORT,90242,,
653071450,40,GateOut,Full,IMPORT,91701,,
1575895723,40,GateOut,Full,IMPORT,92649,,
-1771859351,20,GateOut,Full,IMPORT,93510,,
245155975,40,GateOut,Full,IMPORT,90502,,
387390032,40,GateOut,Full,IMPORT,92414,,
1709763223,40,GateOut,Full,IMPORT,91743,,
1183237532,40,GateOut,Full,IMPORT,91310,,
2064638621,40,GateOut,Full,IMPORT,92504,,
-980011633,20,GateOut,Full,IMPORT,92276,,
-2040285585,40,GateOut,Full,IMPORT,90247,,
-946011274,40,GateOut,Full,IMPORT,91791,,
1554287911,40,GateOut,Full,IMPORT,91423,,
209373167,40,GateOut,Full,IMPORT,91124,,
1240161456,20,GateOut,Full,IMPORT,90011,,
-740835632,20,GateOut,Full,IMPORT,92886,,
340700786,40,GateOut,Full,IMPORT,92654,,
-818380952,40,GateOut,Full,IMPORT,91495,,
-1102402463,40,GateOut,Full,IMPORT,90070,,
-544869524,20,GateOut,Full,IMPORT,91308,,
-828288250,40,GateOut,Full,IMPORT,92867,,
-521653157,20,GateOut,Full,IMPORT,92304,,
-1806970810,20,GateOut,Full,IMPORT,92352,,
-124838398,40,GateOut,Full,IMPORT,90888,,
-568437264,45,GateOut,Full,IMPORT,91116,,
2073103943,40,GateOut,Full,IMPORT,92255,,
10900011,20,GateOut,Full,IMPORT,91735,,
-1348608753,40,GateOut,Full,IMPORT,90020,,
-273169600,45,GateOut,Full,IMPORT,92248,,
1443572550,40,GateOut,Full,IMPORT,92372,,
1253596058,40,GateOut,Full,IMPORT,92555,,
302093648,40,GateOut,Full,IMPORT,91724,,
1696361932,20,GateOut,Full,IMPORT,92364,,
-810510388,20,GateOut,Full,IMPORT,90749,,
2067357995,40,GateOut,Full,IMPORT,92878,,
-1546783479,40,GateOut,Full,IMPORT,92617,,
-698162793,40,GateOut,Full,IMPORT,91792,,
1029060197,40,GateOut,Full,IMPORT,92357,,
-216860229,40,GateOut,Full,IMPORT,91792,,
986896407,20,GateOut,Full,IMPORT,91310,,
205167859,40,GateOut,Full,IMPORT,91756,,
-1325387677,40,GateOut,Full,IMPORT,92861,,
-1496016461,40,GateOut,Full,IMPORT,92899,,
518645687,40,GateOut,Full,IMPORT,90245,,
110842324,40,GateOut,Full,IMPORT,91510,,
841488186,40,GateOut,Full,IMPORT,90834,,
-924190409,40,GateOut,Full,IMPORT,92548,,
1400096447,40,GateOut,Full,IMPORT,92509,,
-1107374895,40,GateOut,Full,IMPORT,92616,,
-1725484460,45,GateOut,Full,IMPORT,90623,,
-798107008,40,GateOut,Full,IMPORT,91791,,
670072090,40,GateOut,Full,IMPORT,90239,,
162693316,40,GateOut,Full,IMPORT,90031,,
-841331886,20,GateOut,Full,IMPORT,93036,,
-458944585,40,GateOut,Full,IMPORT,91329,,
-1260282189,40,GateOut,Full,IMPORT,92707,,
1192542076,40,GateOut,Full,IMPORT,92570,,
179166477,20,GateOut,Full,IMPORT,92658,,
1941789901,40,GateOut,Full,IMPORT,92502,,
-1339230090,20,GateOut,Full,IMPORT,92654,,
-1189662277,40,GateOut,Full,IMPORT,91413,,
-1591290616,40,GateOut,Full,IMPORT,90036,,
-1956948051,20,GateOut,Full,IMPORT,93592,,
-574680377,40,GateOut,Full,IMPORT,91320,,
-456644125,40,GateOut,Full,IMPORT,92846,,
761180962,40,GateOut,Full,IMPORT,90807,,
-1639226162,40,GateOut,Full,IMPORT,92806,,
1026689417,40,GateOut,Full,IMPORT,92604,,
975788057,20,GateOut,Full,IMPORT,90075,,
-1151544881,20,GateOut,Full,IMPORT,91016,,
-1702669358,40,GateOut,Full,IMPORT,91381,,
322311495,20,GateOut,Full,IMPORT,92808,,
1903101830,20,GateOut,Full,IMPORT,92382,,
91617021,40,GateOut,Full,IMPORT,91409,,
178024397,40,GateOut,Full,IMPORT,91115,,
1885766770,40,GateOut,Full,IMPORT,91337,,
200427743,40,GateOut,Full,IMPORT,90266,,
-1582322808,40,GateOut,Full,IMPORT,92522,,
1501452852,20,GateOut,Full,IMPORT,92637,,
88597230,40,GateOut,Full,IMPORT,90846,,
1193178816,40,GateOut,Full,IMPORT,90801,,
1797231874,40,GateOut,Full,IMPORT,91118,,
1584501232,40,GateOut,Full,IMPORT,90223,,
1657915402,20,GateOut,Full,IMPORT,90222,,
897444140,40,GateOut,Full,IMPORT,92313,,
1348334194,40,GateOut,Full,IMPORT,92253,,
1804567224,20,GateOut,Full,IMPORT,91376,,
-701979939,40,GateOut,Full,IMPORT,91804,,
-1223446624,20,GateOut,Full,IMPORT,92628,,
-1343585088,40,GateOut,Full,IMPORT,92881,,
1841595383,40,GateOut,Full,IMPORT,90814,,
1002708300,20,GateOut,Full,IMPORT,90013,,
-1035468832,20,GateOut,Full,IMPORT,92411,,
-343074979,40,GateOut,Full,IMPORT,90069,,
-1911797949,40,GateOut,Full,IMPORT,91006,,
430675131,20,GateOut,Full,IMPORT,90006,,
2082816914,40,GateOut,Full,IMPORT,92625,,
-924109176,40,GateOut,Full,IMPORT,91357,,
-797367603,40,GateOut,Full,IMPORT,91761,,
1207244285,40,GateOut,Full,IMPORT,92318,,
999916669,40,GateOut,Full,IMPORT,92530,,
-2120341006,40,GateOut,Full,IMPORT,92843,,
314732511,20,GateOut,Full,IMPORT,90019,,
2121928727,40,GateOut,Full,IMPORT,90292,,
-1925321472,40,GateOut,Full,IMPORT,93020,,
-581409187,40,GateOut,Full,IMPORT,92596,,
-391194331,40,GateOut,Full,IMPORT,92652,,
914376284,40,GateOut,Full,IMPORT,92610,,
2008687736,20,GateOut,Full,IMPORT,91396,,
1424613941,45,GateOut,Full,IMPORT,91603,,
-1521475202,40,GateOut,Full,IMPORT,90640,,
1181183118,40,GateOut,Full,IMPORT,91899,,
568170519,40,GateOut,Full,IMPORT,90064,,
-1841604334,40,GateOut,Full,IMPORT,90714,,
1481523778,20,GateOut,Full,IMPORT,90060,,
-309409526,40,GateOut,Full,IMPORT,92333,,
-1942474403,40,GateOut,Full,IMPORT,92363,,
-1973389170,40,GateOut,Full,IMPORT,92305,,
512710932,45,GateOut,Full,IMPORT,90637,,
68924721,40,GateOut,Full,IMPORT,92256,,
-1078785940,40,GateOut,Full,IMPORT,91715,,
1212529242,40,GateOut,Full,IMPORT,91426,,
-588612610,40,GateOut,Full,IMPORT,90749,,
-935004811,40,GateOut,Full,IMPORT,91330,,
904701097,45,GateOut,Full,IMPORT,90026,,
-1143378244,40,GateOut,Full,IMPORT,90251,,
-1378138005,40,GateOut,Full,IMPORT,92282,,
1796500396,20,GateOut,Full,IMPORT,93094,,
-1497569182,40,GateOut,Full,IMPORT,91743,,
301130107,20,GateOut,Full,IMPORT,92811,,
736690225,20,GateOut,Full,IMPORT,92556,,
486398287,20,GateOut,Full,IMPORT,92688,,
89481760,20,GateOut,Full,IMPORT,90308,,
-1598695053,20,GateOut,Full,IMPORT,92831,,
-700998420,40,GateOut,Full,IMPORT,92336,,
-1872446276,40,GateOut,Full,IMPORT,92338,,
-758085012,40,GateOut,Full,IMPORT,91376,,
-791563949,45,GateOut,Full,IMPORT,91841,,
855974747,40,GateOut,Full,IMPORT,92284,,
1068015374,40,GateOut,Full,IMPORT,92844,,
506435399,45,GateOut,Full,IMPORT,90093,,
-842422812,40,GateOut,Full,IMPORT,91775,,
-830211563,40,GateOut,Full,IMPORT,92504,,
-1863467490,40,GateOut,Full,IMPORT,90278,,
-1290588466,40,GateOut,Full,IMPORT,91510,,
1363512208,40,GateOut,Full,IMPORT,92552,,
1220982995,40,GateOut,Full,IMPORT,91802,,
1161466693,20,GateOut,Full,IMPORT,91043,,
748798828,40,GateOut,Full,IMPORT,90086,,
-1978423170,20,GateOut,Full,IMPORT,92646,,
1868964797,40,GateOut,Full,IMPORT,93020,,
-531623507,40,GateOut,Full,IMPORT,93023,,
-611523513,40,GateOut,Full,IMPORT,90096,,
-248720473,20,GateOut,Full,IMPORT,91423,,
-46365459,20,GateOut,Full,IMPORT,93535,,
224026685,40,GateOut,Full,IMPORT,90840,,
-570461065,45,GateOut,Full,IMPORT,90309,,
-1643400816,40,GateOut,Full,IMPORT,91784,,
-1984122128,40,GateOut,Full,IMPORT,93041,,
-746223829,20,GateOut,Full,IMPORT,93093,,
-1970089324,40,GateOut,Full,IMPORT,90189,,
-372591519,20,GateOut,Full,IMPORT,92413,,
-859141212,40,GateOut,Full,IMPORT,90743,,
-823104328,40,GateOut,Full,IMPORT,91222,,
-1874461592,40,GateOut,Full,IMPORT,92382,,
2034057182,40,GateOut,Full,IMPORT,91756,,
-1807999987,40,GateOut,Full,IMPORT,92376,,
-972860790,40,GateOut,Full,IMPORT,90267,,
2043444112,45,GateOut,Full,IMPORT,90291,,
275097007,40,GateOut,Full,IMPORT,92410,,
-281305150,40,GateOut,Full,IMPORT,90045,,
539028240,40,GateOut,Full,IMPORT,92867,,
-1038672673,40,GateOut,Full,IMPORT,90067,,
-1064759117,20,GateOut,Full,IMPORT,91358,,
-850039650,40,GateOut,Full,IMPORT,90671,,
1625669539,40,GateOut,Full,IMPORT,91386,,
1732188516,40,GateOut,Full,IMPORT,90846,,
618540143,20,GateOut,Full,IMPORT,91184,,
2125908222,40,GateOut,Full,IMPORT,91326,,
-115250095,40,GateOut,Full,IMPORT,92862,,
353038710,20,GateOut,Full,IMPORT,91732,,
-1471890854,40,GateOut,Full,IMPORT,90660,,
1524889375,40,GateOut,Full,IMPORT,92619,,
-259318007,40,GateOut,Full,IMPORT,91344,,
-1032397932,40,GateOut,Full,IMPORT,90306,,
-227233386,40,GateOut,Full,IMPORT,92427,,
-1513154969,40,GateOut,Full,IMPORT,90061,,
2027528812,40,GateOut,Full,IMPORT,92697,,
1399817254,20,GateOut,Full,IMPORT,91767,,
981609511,45,GateOut,Full,IMPORT,92663,,
-196399262,40,GateOut,Full,IMPORT,90047,,
1769993378,40,GateOut,Full,IMPORT,91798,,
-668636919,40,GateOut,Full,IMPORT,92590,,
-1984496587,40,GateOut,Full,IMPORT,92807,,
1765507633,40,GateOut,Full,IMPORT,92878,,
-386508450,45,GateOut,Full,IMPORT,90621,,
219666291,40,GateOut,Full,IMPORT,92857,,
-1218078793,40,GateOut,Full,IMPORT,90230,,
-1925221181,40,GateOut,Full,IMPORT,91702,,
1194813404,40,GateOut,Full,IMPORT,90055,,
890391565,40,GateOut,Full,IMPORT,92831,,
-682640303,40,GateOut,Full,IMPORT,92637,,
-975328312,40,GateOut,Full,IMPORT,90019,,
-1272779528,40,GateOut,Full,IMPORT,91780,,
2103000390,40,GateOut,Full,IMPORT,91401,,
-358852226,20,GateOut,Full,IMPORT,92553,,
-206544765,20,GateOut,Full,IMPORT,92615,,
914203659,20,GateOut,Full,IMPORT,92382,,
-957611145,40,GateOut,Full,IMPORT,92843,,
-1780154795,40,GateOut,Full,IMPORT,90612,,
-1881440556,40,GateOut,Full,IMPORT,92532,,
624618172,40,GateOut,Full,IMPORT,92647,,
1978921992,40,GateOut,Full,IMPORT,91523,,
1136494750,45,GateOut,Full,IMPORT,90212,,
-902048157,40,GateOut,Full,IMPORT,90501,,
1007603463,45,GateOut,Full,IMPORT,90046,,
-1411872538,40,GateOut,Full,IMPORT,92402,,
1319756667,40,GateOut,Full,IMPORT,92403,,
-1267381899,40,GateOut,Full,IMPORT,92223,,
-1382214714,40,GateOut,Full,IMPORT,92584,,
-365362483,40,GateOut,Full,IMPORT,91784,,
-662264123,40,GateOut,Full,IMPORT,92617,,
-977731708,40,GateOut,Full,IMPORT,91611,,
846941117,40,GateOut,Full,IMPORT,92414,,
1019611421,40,GateOut,Full,IMPORT,90844,,
816539918,20,GateOut,Full,IMPORT,93041,,
276741715,40,GateOut,Full,IMPORT,90015,,
-2099834182,40,GateOut,Full,IMPORT,92315,,
-778689760,40,GateOut,Full,IMPORT,91106,,
1849337563,40,GateOut,Full,IMPORT,91324,,
875756217,40,GateOut,Full,IMPORT,93062,,
-1018436065,40,GateOut,Full,IMPORT,90209,,
1875356011,40,GateOut,Full,IMPORT,91614,,
-814162029,40,GateOut,Full,IMPORT,91225,,
-1224123435,40,GateOut,Full,IMPORT,90711,,
-1140512747,40,GateOut,Full,IMPORT,90603,,
-1194901776,45,GateOut,Full,IMPORT,93006,,
1430650397,20,GateOut,Full,IMPORT,92261,,
-253227918,20,GateOut,Full,IMPORT,91752,,
1058490242,40,GateOut,Full,IMPORT,91209,,
1384053917,45,GateOut,Full,IMPORT,92837,,
1157683033,20,GateOut,Full,IMPORT,91767,,
-415694672,20,GateOut,Full,IMPORT,90232,,
1660300514,20,GateOut,Full,IMPORT,92363,,
1753053842,40,GateOut,Full,IMPORT,92865,,
313292864,40,GateOut,Full,IMPORT,90835,,
-1193160823,45,GateOut,Full,IMPORT,91754,,
-59598625,40,GateOut,Full,IMPORT,91117,,
-229375862,40,GateOut,Full,IMPORT,92706,,
336388699,40,GateOut,Full,IMPORT,90231,,
1129406388,40,GateOut,Full,IMPORT,91321,,
1332697450,20,GateOut,Full,IMPORT,91203,,
-1065325897,40,GateOut,Full,IMPORT,90043,,
1377998695,40,GateOut,Full,IMPORT,91012,,
1813811531,45,GateOut,Full,IMPORT,90023,,
41458492,40,GateOut,Full,IMPORT,92401,,
-451629341,40,GateOut,Full,IMPORT,91411,,
1519011616,45,GateOut,Full,IMPORT,92801,,
-148556826,40,GateOut,Full,IMPORT,90405,,
1828824050,45,GateOut,Full,IMPORT,92672,,
-2027296837,40,GateOut,Full,IMPORT,90012,,
-1280399931,20,GateOut,Full,IMPORT,91321,,
-379995347,40,GateOut,Full,IMPORT,90078,,
-996450359,45,GateOut,Full,IMPORT,92263,,
-961628058,45,GateOut,Full,IMPORT,90290,,
375354772,40,GateOut,Full,IMPORT,92412,,
1994665011,20,GateOut,Full,IMPORT,91043,,
1235073488,20,GateOut,Full,IMPORT,90660,,
-1488329173,40,GateOut,Full,IMPORT,91778,,
-733667197,20,GateOut,Full,IMPORT,92365,,
1537521455,40,GateOut,Full,IMPORT,92301,,
-1097569373,40,GateOut,Full,IMPORT,92276,,
-1831949501,40,GateOut,Full,IMPORT,90231,,
1168890697,40,GateOut,Full,IMPORT,92703,,
2003810752,20,GateOut,Full,IMPORT,91737,,
-2046433556,20,GateOut,Full,IMPORT,92368,,
-49118716,40,GateOut,Full,IMPORT,91523,,
1955833167,20,GateOut,Full,IMPORT,91754,,
907732403,20,GateOut,Full,IMPORT,92254,,
